Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
39,Moonlight,XXXTENTACION,1287251,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-01-01,0JP9xo3adEtGSdUEISiszL,0.556,0.921,135090,0.537,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,0.711
40,Wake Up in the Sky,Gucci Mane,1266708,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-01-01,2G1tXoGBaEMJ7FKGnkf6ud,0.00381,0.8,203161,0.578,0.0,4,0.367,-5.144,0,0.0485,143.01,4,0.367
41,Adictiva,Daddy Yankee,1244010,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-01,6MJUCumnQsQEKbCy28tbCP,0.291,0.788,207853,0.771,5.62e-05,4,0.172,-3.206,0,0.0563,99.038,4,0.701
42,In My Feelings,Drake,1234391,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019-01-01,2G7V7zsVDxg1yRsu7Ew9RJ,0.0589,0.835,217925,0.626,6e-05,1,0.396,-5.833,1,0.125,91.03,4,0.35
43,Taste (feat. Offset),Tyga,1208890,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019-01-01,5IaHrVsrferBYDm0bDyABy,0.0236,0.884,232959,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,4,0.342
44,Be Alright,Dean Lewis,1192272,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-01,3EPXxR3ImUwfayaurPi3cm,0.697,0.553,196373,0.586,0.0,11,0.0813,-6.319,1,0.0362,126.684,4,0.443
45,Solo de Mi,Bad Bunny,1174937,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-01,4uP3pUP18ennmz0tb3GphR,0.287,0.743,197968,0.73,8.1e-05,10,0.0778,-4.314,0,0.125,179.972,4,0.15
46,Shape of You,Ed Sheeran,1161132,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-01-01,7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931
47,Don't Stop Me Now - Remastered,Queen,1155173,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019-01-01,5T8EDUDqKcs6OSOwEsfqG7,0.0475,0.559,209413,0.868,0.000176,5,0.776,-5.276,1,0.17,156.295,4,0.609
48,Saturday Nights,Khalid,1144090,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-01-01,5kfNriitmkNE8mUbZ7gbq8,0.606,0.551,210667,0.44,3.02e-05,10,0.11,-8.559,1,0.0985,167.923,4,0.341
49,Havana (feat. Young Thug),Camila Cabello,1123301,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019-01-01,1rfofaqEpACxVEHIZBJe6W,0.184,0.765,217307,0.523,3.56e-05,2,0.132,-4.333,1,0.03,104.988,4,0.394
50,Youngblood,5 Seconds of Summer,1122507,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-01-01,2iUXsYOEPhVqEBwsqP70rE,0.0169,0.596,203418,0.854,0.0,7,0.124,-5.114,0,0.463,120.274,4,0.152
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4323160,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-02,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913
2,"thank u, next",Ariana Grande,4275439,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-02,2rPE9A1vEgShuZxxzR2tZH,0.28,0.724,207333,0.647,0.0,1,0.102,-5.642,1,0.0658,106.96,4,0.435
3,Wow.,Post Malone,3947420,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-02,6MWtB6iiXyIwun0YzU6DFP,0.163,0.833,149520,0.539,2.1e-06,11,0.101,-7.399,0,0.178,99.947,4,0.385
4,Without Me,Halsey,3307383,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-02,5p7ujcrUXASCNwRaWNHR1C,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3188386,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,4w8niZpiMy6qz1mntFA5uM,0.153,0.841,212500,0.798,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591
6,Sweet but Psycho,Ava Max,2896056,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-02,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436,0.704,0.0,1,0.166,-4.724,1,0.0476,133.002,4,0.628
7,MIA (feat. Drake),Bad Bunny,2642425,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-02,116H0KvKr2Zl4RPuVBruDO,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,0.158
8,Happier,Marshmello,2598097,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-02,2dpaYNEQHiRxtZbfNsse99,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,4,0.671
9,SICKO MODE,Travis Scott,2512089,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-02,2xLMifQCjDGFmkHkpNLD9h,0.00513,0.834,312820,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,4,0.446
10,Calma - Remix,Pedro Capó,2419735,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-02,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200,0.773,0.0,11,0.143,-4.218,0,0.0524,126.899,4,0.761
11,ZEZE,Kodak Black,2297457,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-01-02,0FZ4Dmg8jJJAPJnvBIzD9z,0.0521,0.861,228760,0.603,0.0,8,0.0924,-5.788,0,0.176,98.043,4,0.504
12,Going Bad (feat. Drake),Meek Mill,2291824,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-01-02,2IRZnDFmlqMuOrYOLnZZyc,0.259,0.889,180522,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,4,0.544
13,High Hopes,Panic! At The Disco,2266696,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-02,1rqqCSm0Qe4I9rUvWncaom,0.193,0.579,190947,0.904,0.0,5,0.064,-2.729,1,0.0618,82.014,4,0.681
14,Adan y Eva,Paulo Londra,2219880,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-02,6FyRXC8tJUh863JCkyWqtk,0.323,0.767,258639,0.709,0.0,1,0.0676,-4.47,1,0.336,171.993,4,0.72
15,Shallow,Lady Gaga,2002482,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-02,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,4,0.323
16,Eastside (with Halsey & Khalid),benny blanco,1922562,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-01-02,7FGq80cy8juXBCD2nrqdWU,0.549,0.632,170770,0.686,0.0,6,0.2,-7.665,0,0.243,89.949,4,0.329
17,imagine,Ariana Grande,1846263,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019-01-02,0todbbT9g5uQGbeFCiBf2F,0.374,0.714,212293,0.474,0.0,8,0.106,-4.993,1,0.039,62.484,3,0.376
18,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,1805721,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019-01-02,2LskIZrCeLxRvCiGP8gxlh,0.0302,0.703,198903,0.723,2.06e-06,9,0.126,-5.45,0,0.0412,104.969,4,0.288
19,Girls Like You (feat. Cardi B),Maroon 5,1794464,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-01-02,7fa9MBXhVfQ8P8Df9OEbD8,0.568,0.851,235545,0.541,0.0,0,0.13,-6.825,1,0.0505,124.959,4,0.448
20,Mo Bamba,Sheck Wes,1788857,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-01-02,1xzBco0xcoJEDXktl7Jxrr,0.194,0.729,183907,0.625,0.00986,4,0.248,-5.266,1,0.0315,146.034,4,0.261
21,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,1786564,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-01-02,27rdGxbavYJeBphck5MZAF,0.00987,0.601,217467,0.794,1.36e-06,7,0.388,-5.844,0,0.0671,114.066,4,0.244
22,Better Now,Post Malone,1771332,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-01-02,7dt6x5M1jzdTEt8oCbisTK,0.354,0.68,231267,0.563,0.0,10,0.136,-5.843,1,0.0454,145.028,4,0.374
23,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,1759910,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-01-02,5JEx7HbmvHQQswJCsoo9rA,0.0969,0.574,182623,0.758,0.0,1,0.395,-5.029,0,0.0621,144.111,4,0.492
24,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1741726,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-01-02,78QR3Wp35dqAhFEc2qAGjE,0.103,0.896,145543,0.671,0.0,1,0.552,-6.977,0,0.289,112.502,4,0.358
25,when the party's over,Billie Eilish,1740255,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-01-02,14JzyD6FlBD5z0wV5P07YI,0.979,0.498,199931,0.104,7.86e-05,1,0.0895,-14.08,0,0.0621,124.001,3,0.205
26,Better,Khalid,1688983,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-01-02,6zeeWid2sgw4lap2jV61PZ,0.0765,0.596,229320,0.552,0.334,0,0.104,-10.278,0,0.097,97.949,4,0.112
27,SAD!,XXXTENTACION,1650909,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-01-02,3ee8Jmje8o58CHK66QrVC2,0.258,0.74,166606,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473
28,Lucid Dreams,Juice WRLD,1629152,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-01-02,285pBltuF7vW8TeWk8hdRR,0.349,0.511,239836,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,4,0.218
29,Be Alright,Dean Lewis,1567442,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-02,3EPXxR3ImUwfayaurPi3cm,0.697,0.553,196373,0.586,0.0,11,0.0813,-6.319,1,0.0362,126.684,4,0.443
30,In My Mind,Dynoro,1551168,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-02,0E9ZjEAyAwOXZ7wJC0PD33,0.176,0.694,184560,0.77,1.1e-05,6,0.118,-5.335,1,0.149,125.905,4,0.163
31,Bohemian Rhapsody - Remastered 2011,Queen,1547856,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-01-02,7tFiyTwD0nx5a1eklYtX2J,0.254,0.397,354320,0.396,0.0,3,0.268,-9.91,1,0.05,142.913,4,0.227
32,Saturday Nights,Khalid,1505460,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-01-02,5kfNriitmkNE8mUbZ7gbq8,0.606,0.551,210667,0.44,3.02e-05,10,0.11,-8.559,1,0.0985,167.923,4,0.341
33,rockstar (feat. 21 Savage),Post Malone,1451166,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019-01-02,0e7ipj03S05BNilyu5bRzt,0.117,0.587,218147,0.535,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,4,0.14
34,I Like It,Cardi B,1432666,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-01-02,58q2HKrzhC3ozto2nDdN4z,0.099,0.816,253390,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,4,0.65
35,Solo de Mi,Bad Bunny,1404161,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-02,4uP3pUP18ennmz0tb3GphR,0.287,0.743,197968,0.73,8.1e-05,10,0.0778,-4.314,0,0.125,179.972,4,0.15
36,Promises (with Sam Smith),Calvin Harris,1403839,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-01-02,5N5k9nd479b1xpDZ4usjrg,0.0119,0.781,213309,0.768,4.91e-06,11,0.325,-5.991,1,0.0394,123.07,4,0.486
37,Leave Me Alone,Flipp Dinero,1401919,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019-01-02,14mHfNsSHN0FbLftyjrV9g,0.107,0.792,195637,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742
38,Moonlight,XXXTENTACION,1386221,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019-01-02,0JP9xo3adEtGSdUEISiszL,0.556,0.921,135090,0.537,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,0.711
39,Ella Quiere Beber - Remix,Anuel AA,1380567,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-02,2cYnZNzFRFK0H7vSNxPsUq,0.265,0.751,219357,0.665,0.0,8,0.0515,-3.083,1,0.124,95.239,4,0.698
40,Youngblood,5 Seconds of Summer,1335150,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-01-02,2iUXsYOEPhVqEBwsqP70rE,0.0169,0.596,203418,0.854,0.0,7,0.124,-5.114,0,0.463,120.274,4,0.152
41,God's Plan,Drake,1333638,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019-01-02,6DCZcSspjsKoFjzjrWoCdn,0.0332,0.754,198973,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357
42,whoa (mind in awe),XXXTENTACION,1312739,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,2019-01-02,7pdF27mSDuPWhppnHAmWHa,0.653,0.735,157777,0.525,0.918,6,0.101,-2.939,0,0.0441,160.147,4,0.369
43,Bad Liar,Imagine Dragons,1302602,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-01-02,2RSHsoi04658QL5xgQVov3,0.0722,0.383,260773,0.637,0.0,3,0.368,-6.993,1,0.0703,177.913,4,0.0827
44,Look Back at It,A Boogie Wit da Hoodie,1275935,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-01-02,3Ol2xnObFdKV9pmRD2t9x8,0.407,0.791,179449,0.587,0.0,3,0.148,-5.075,0,0.0413,96.057,4,0.536
45,Wake Up in the Sky,Gucci Mane,1272787,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-01-02,2G1tXoGBaEMJ7FKGnkf6ud,0.00381,0.8,203161,0.578,0.0,4,0.367,-5.144,0,0.0485,143.01,4,0.367
46,Ruin My Life,Zara Larsson,1269655,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019-01-02,5tAa8Uaqr4VvA3693mbIhU,0.423,0.665,190932,0.699,0.0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585
47,Kiss and Make Up,Dua Lipa,1257598,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019-01-02,13hvHEstJ4sNbzdroPrPI3,0.0557,0.675,190560,0.729,0.0,8,0.189,-4.383,1,0.146,99.986,4,0.63
48,Taste (feat. Offset),Tyga,1252160,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019-01-02,5IaHrVsrferBYDm0bDyABy,0.0236,0.884,232959,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,4,0.342
49,Adictiva,Daddy Yankee,1248855,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-02,6MJUCumnQsQEKbCy28tbCP,0.291,0.788,207853,0.771,5.62e-05,4,0.172,-3.206,0,0.0563,99.038,4,0.701
50,Vaina Loca,Ozuna,1240689,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-02,48zFZh27QU5qsrBjn4C2FA,0.315,0.754,176133,0.805,0.0,6,0.203,-4.249,1,0.0752,93.983,4,0.555
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4426149,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-03,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913
2,"thank u, next",Ariana Grande,4320260,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-03,2rPE9A1vEgShuZxxzR2tZH,0.28,0.724,207333,0.647,0.0,1,0.102,-5.642,1,0.0658,106.96,4,0.435
