Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7,Señorita,Shawn Mendes,445247,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-07-26,6v3KW9xbzN5yKLt9YKDYA2,0.0392,0.759,190800,0.548,0.0,9,0.0828,-6.049,0,0.029,116.967,4,0.749
9,Otro Trago - Remix,Sech,424746,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,2019-07-26,4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,287773,0.79,1.14e-06,0,0.0602,-2.331,1,0.197,175.988,4,0.763
18,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,254451,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-07-26,6osaMSJh9NguagEDQcZaKx,0.278,0.694,185195,0.758,1.34e-06,11,0.102,-2.986,1,0.218,192.091,4,0.371
30,Old Town Road - Remix,Lil Nas X,193169,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-07-26,2YpeDb67231RjR0MgVLzsG,0.0533,0.878,157067,0.619,0.0,6,0.113,-5.56,1,0.102,136.041,4,0.639
31,Bellacoso,Residente,184751,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S,2019-07-26,1kMUGCt7XLDc5Q64Vl0H8S,0.0651,0.774,257865,0.851,0.0,11,0.0568,-2.795,0,0.255,180.086,4,0.695
45,La Boca - Remix,Mau y Ricky,152627,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT,2019-07-27,2EEmzqzM70CybVspgM7YRT,0.236,0.691,188468,0.773,0.0,11,0.329,-3.812,0,0.0355,92.992,4,0.85
47,boyfriend (with Social House),Ariana Grande,150434,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,2019-08-02,0Ryd8975WihbObpp5cPW1t,0.119,0.4,186107,0.795,0.0,10,0.159,-3.731,0,0.461,190.097,4,0.702
47,Me La Avente,Carin Leon,152822,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ,2019-08-03,2QwMXe5zbqymDZGYsMDVqZ,0.557,0.723,155803,0.48,0.0,11,0.0705,-4.1,0,0.0326,144.533,3,0.909
48,Atrévete,Nicky Jam,136876,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50,2019-08-08,3KekO5WUfJsh7kYU9o2w50,0.311,0.552,198320,0.675,0.0,11,0.119,-3.824,1,0.297,183.785,4,0.586
39,Tutu,Camilo,171448,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,2019-08-09,1nocRtwyNPVtGcIJqfgdzZ,0.273,0.731,178613,0.832,0.0,9,0.0665,-2.592,1,0.0503,146.013,4,0.94
43,Contando Lunares (feat. Cruz Cafuné),Don Patricio,145859,https://open.spotify.com/track/6uW0PIRcyZLvkoonm763xD,2019-08-12,6uW0PIRcyZLvkoonm763xD,0.444,0.856,219667,0.523,0.0,4,0.0537,-10.481,0,0.131,105.935,4,0.709
7,Soltera (Remix),Lunay,446302,https://open.spotify.com/track/2qMnZF5Ja2WvmfbblByQza,2019-08-16,2qMnZF5Ja2WvmfbblByQza,0.327,0.795,266192,0.755,0.0,5,0.464,-4.788,1,0.0454,92.02,4,0.816
