Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
34,Mis Sentimientos,Los Angeles Azules,157435,https://open.spotify.com/track/66NNoydhDCKHjBZjO4OnNm,2019-01-01,66NNoydhDCKHjBZjO4OnNm,0.206,0.737,216000,0.696,0.000181,8,0.0776,-4.715,1,0.032,92.979,4,0.858
35,Bubalu,Becky G,157238,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-01,7dNwJbsT0sg1le5kVugGJb,0.616,0.8,228493,0.355,0.0,6,0.118,-10.47,0,0.0895,145.929,4,0.253
36,Sin Pijama,Becky G,153691,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,2019-01-01,2ijef6ni2amuunRoKTlgww,0.354,0.791,188560,0.745,2.93e-05,11,0.104,-3.695,0,0.0464,94.014,4,0.82
37,Happier,Marshmello,153659,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-01,2dpaYNEQHiRxtZbfNsse99,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,4,0.671
38,Probablemente,Christian Nodal,151704,https://open.spotify.com/track/4prmUBle7TtAeeUgCnsc3Z,2019-01-01,4prmUBle7TtAeeUgCnsc3Z,0.412,0.661,233547,0.489,0.0,7,0.102,-5.236,1,0.0284,79.996,4,0.591
39,Me Rehúso,Danny Ocean,151250,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,2019-01-01,6De0lHrwBfPfrhorm9q1Xl,0.0231,0.744,205715,0.804,0.0,1,0.0494,-6.327,1,0.0677,104.823,4,0.426
40,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,149896,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913
41,Rucón,Aleman,149264,https://open.spotify.com/track/6TDtGJSk3MDTnM6nTDu5Zu,2019-01-01,6TDtGJSk3MDTnM6nTDu5Zu,0.0196,0.863,168560,0.59,0.0,1,0.093,-8.768,1,0.5,161.98,4,0.579
42,En Donde Esta Tu Amor,Virlan Garcia,148999,https://open.spotify.com/track/3HGJyp3fbmd5ylCe3dvLiS,2019-01-01,3HGJyp3fbmd5ylCe3dvLiS,0.582,0.501,217429,0.4,0.0,0,0.0692,-4.76,1,0.0352,73.054,4,0.556
43,Ponle,Rvssian,147373,https://open.spotify.com/track/28O1p0bQXH2F6Qn8jBZZR4,2019-01-01,28O1p0bQXH2F6Qn8jBZZR4,0.187,0.857,164765,0.772,0.00181,10,0.0851,-4.736,0,0.194,94.028,4,0.589
44,Promises (with Sam Smith),Calvin Harris,147068,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-01-01,5N5k9nd479b1xpDZ4usjrg,0.0119,0.781,213309,0.768,4.91e-06,11,0.325,-5.991,1,0.0394,123.07,4,0.486
45,Solo de Mi,Bad Bunny,146695,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-01,4uP3pUP18ennmz0tb3GphR,0.287,0.743,197968,0.73,8.1e-05,10,0.0778,-4.314,0,0.125,179.972,4,0.15
46,PPP,Kevin Roldan,143091,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS,2019-01-01,1DcxnVNFAyVl2sDQ646pXS,0.363,0.786,129040,0.65,8.17e-05,4,0.122,-6.839,1,0.109,92.975,4,0.712
47,Procura,ChiChi Peralta,142648,https://open.spotify.com/track/3zbSYBDUbDEbqUIlCmOw09,2019-01-01,3zbSYBDUbDEbqUIlCmOw09,0.279,0.805,271031,0.757,0.000839,8,0.101,-7.46,1,0.0355,102.14,4,0.973
48,Sola,Manuel Turizo,138204,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-01-01,675w3ACw5xZR3ODhUJlEVN,0.483,0.704,195044,0.706,0.0,11,0.0965,-5.233,0,0.111,92.965,4,0.856
49,Tiene Espinas El Rosal,Grupo Cañaveral De Humberto Pabón,137443,https://open.spotify.com/track/1PZ3QsCFec05Ls3PwOqKXZ,2019-01-01,1PZ3QsCFec05Ls3PwOqKXZ,0.0343,0.68,237960,0.423,0.0,11,0.0925,-11.112,0,0.136,169.184,4,0.822
50,Mala Mía,Maluma,135027,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,2019-01-01,62o8KoI44JfN7aYxgTnPvh,0.31,0.749,183753,0.752,0.0,6,0.232,-4.883,1,0.345,180.049,4,0.901
1,Calma - Remix,Pedro Capó,608342,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-02,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200,0.773,0.0,11,0.143,-4.218,0,0.0524,126.899,4,0.761
2,Adan y Eva,Paulo Londra,391866,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-02,6FyRXC8tJUh863JCkyWqtk,0.323,0.767,258639,0.709,0.0,1,0.0676,-4.47,1,0.336,171.993,4,0.72
3,MIA (feat. Drake),Bad Bunny,332189,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-02,116H0KvKr2Zl4RPuVBruDO,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,0.158
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,321895,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,4w8niZpiMy6qz1mntFA5uM,0.153,0.841,212500,0.798,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591
5,Ella Quiere Beber - Remix,Anuel AA,296024,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-02,2cYnZNzFRFK0H7vSNxPsUq,0.265,0.751,219357,0.665,0.0,8,0.0515,-3.083,1,0.124,95.239,4,0.698
6,Baby Girl (feat. Lalo Ebratt),Mario Bautista,268954,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc,2019-01-02,6o8ogTrSX8H0F66Pdz3Tsc,0.0275,0.804,218470,0.705,0.000138,1,0.202,-5.272,1,0.199,103.009,4,0.45
7,Desconocidos,Mau y Ricky,261915,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-02,0s5DNDV6LAKn2u2Ufa3VjQ,0.146,0.709,204453,0.771,3.29e-06,7,0.249,-4.598,1,0.166,174.006,4,0.709
8,A Través Del Vaso,Grupo Arranke,224008,https://open.spotify.com/track/0oCSitNlzsQfuIapF9tXRQ,2019-01-02,0oCSitNlzsQfuIapF9tXRQ,0.358,0.612,188662,0.694,1.31e-05,5,0.347,-2.979,1,0.0297,143.851,3,0.92
9,Amigos Con Derechos,Reik,223759,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019-01-02,2zDj4WjbNDmrRL6Z4YjjCA,0.0481,0.686,227476,0.807,0.0,1,0.0652,-3.324,1,0.0613,183.971,4,0.63
